pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""45""";"=""w""";"=""15""";"=""12""";"=""17""";"=""STOEVA-Toumparova Siyka""";"=""14.02.1973""";"=""BUL""";"=""53""";"=""52.80""";"=""72.5""";"=""77.5""";"=""80""";"=""80""";"=""92.5""";"=""*97.5""";"=""*97.5""";"=""92.5""";"=""172.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""46""";"=""w""";"=""16""";"=""15""";"=""18""";"=""SHAHAR Michal""";"=""19.10.1974""";"=""ISR""";"=""53""";"=""52.85""";"=""77.5""";"=""*82.5""";"=""*82.5""";"=""77.5""";"=""92.5""";"=""*95""";"=""*95""";"=""92.5""";"=""170""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""47""";"=""w""";"=""17""";"=""19""";"=""15""";"=""GALLEGO Adriana""";"=""01.01.1974""";"=""COL""";"=""53""";"=""52.36""";"=""*70""";"=""*70""";"=""70""";"=""70""";"=""90""";"=""*95""";"=""95""";"=""95""";"=""165""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""48""";"=""w""";"=""18""";"=""17""";"=""20""";"=""GUERRERO GONZALEZ Abigail""";"=""18.07.1978""";"=""ESP""";"=""53""";"=""52.94""";"=""70""";"=""75""";"=""*77.5""";"=""75""";"=""85""";"=""90""";"=""*92.5""";"=""90""";"=""165""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""49""";"=""w""";"=""19""";"=""18""";"=""19""";"=""PUXEDDU Silvia""";"=""20.09.1974""";"=""ITA""";"=""53""";"=""52.47""";"=""67.5""";"=""*72.5""";"=""72.5""";"=""72.5""";"=""90""";"=""*95""";"=""*95""";"=""90""";"=""162.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""50""";"=""w""";"=""20""";"=""22""";"=""16""";"=""MUNOZ Bibiana""";"=""24.02.1971""";"=""COL""";"=""53""";"=""52.42""";"=""65""";"=""*67.5""";"=""*67.5""";"=""65""";"=""*92.5""";"=""92.5""";"=""95""";"=""95""";"=""160""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""51""";"=""w""";"=""21""";"=""20""";"=""21""";"=""CHATZIAVRAMIDOU Evdokia""";"=""22.07.1969""";"=""GRE""";"=""53""";"=""52.49""";"=""*67.5""";"=""67.5""";"=""70""";"=""70""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""155""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""52""";"=""w""";"=""22""";"=""23""";"=""22""";"=""OESTERGAARD Lisbeth""";"=""20.11.1973""";"=""DEN""";"=""53""";"=""52.80""";"=""62.5""";"=""65""";"=""*67.5""";"=""65""";"=""80""";"=""82.5""";"=""85""";"=""85""";"=""150""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""53""";"=""w""";"=""23""";"=""21""";"=""23""";"=""JORGE Maria Elizabet""";"=""20.04.1957""";"=""BRA""";"=""53""";"=""52.12""";"=""60""";"=""*65""";"=""65""";"=""65""";"=""77.5""";"=""*82.5""";"=""82.5""";"=""82.5""";"=""147.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""54""";"=""w""";"=""24""";"=""25""";"=""24""";"=""MONTEIRO Maria""";"=""01.01.1974""";"=""POR""";"=""53""";"=""52.13""";"=""60""";"=""*62.5""";"=""*62.5""";"=""60""";"=""75""";"=""80""";"=""*82.5""";"=""80""";"=""140""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
